modified,"Work/
Munkanem","Work/
Munkanem","Position/
tétel",Description,Leírás," Quantity/
mennyiség ","Unit/
egység","Quantity modification from GC 
(if needed +/- )","Materila unit price/
anyag egység ár HUF","Unit worker fees/
munka díj    egység ár   HUF","Unit price sum/
összes egység ár   HUF","Sum/
Összesen
HUF",,,,,,,
x,400,421,5,"Ductable, gas-fired air heater with centrifugal fan, complete w. factory-madel flue exhaust assembly, factory-made combustion air system
Designation: Fan heater 5, 6 - Baller Hall
- nominal output [kW]: 35.3-45.1
- gas consumption [m³/h]: 5.17
- air flow [m³/h]: 5480
- nominal power consumption [W]: 95
- operational weight [kg]: 124
- manufacturer: Pakole
- type: GTV-E-48C","Légcsatornázható, gáztüzelésű termoventilátor centrifugál ventilátorral, gyári égéstermék elvezető rendszerrel, gyári égési levegő bevezető rendszerrel
Jelölés: Fan heater 5, 6 - Baller Hall
- névleges teljesítmény [kW]: 35.3-45.1
- gázfogyasztás [m³/h]: 5.17
- légszállítás [m³/h]: 5480
- névleges el. teljesítmény [W]: 95
- üzemi tömeg [kg]: 124
- gyártó: Pakole
- típus: GTV-E-48C", 6.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1366
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1367
,,,,Water heated,Melegvizes,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1368
x,400,421,6,"Water air heater for downward blowing installation, with three speed centrifugal fan, heating mode only
Designation: T.0.04.0 - Tool Storage
- nominal output [kW]: 28
- heating water temperature [°C]: 70/50
- nominal air flow [m³/h]: 3198
- nominal power consumption [W]: 586
- operational weight [kg]: 25
- manufacturer:Pakole
- type:MVT-30-3FC","Vízfűtéses termovenitlátor, lefelé fúvó, három ventilátor fokozattal, csak fűtésre
Jelölés: T.0.04.0 - Tool Storage
- névleges teljesítmény [kW]: 28
- fűtővíz hőmérséklet [°C]: 70/50
- névleges légszállítás [m³/h]: 3198
- névleges el. teljesítmény [W]: 586
- üzemi tömeg [kg]: 25
- gyártó:Pakole
- típus:MVT-30-3FC", 6.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1369
x,400,421,7,"AIR DESTRATIFIER Fan
LLV-650
9400m3/h","Rétegződésgátló ventilátor
LLV-650
9400m3/h", 14.00    ,,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1370
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1371
,,,,Electric radiators,Elektromos radiátorok,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1372
,400,421,8,"Bathroom radiator, electrical w. optional connection to central water heating, IP24 protection rating, programmable temperature control
- nominal heating capacity [W]: 500
- weight [kg]: 12
- manufacturer: Stiebel Eltron
- type:BHE 50 Plus","Fürdőszobai radiátor, elektromos, opcionálisan csatlakoztatható központi fűtéshez, IP24 védelemmel, programozható hőmérséklet szabályzóval
- névleges fűtőteljesítmény [W]: 500
- tömeg [kg]: 12
- gyártó: Stiebel Eltron
- típus:BHE 50 Plus", 5.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1373
,400,421,9,"Wall mounted radiant and convection heating appliance w. window opening-, presence sensor and programmable timer
- nominal heating capacity [W]: 750
- weight [kg]: 6.7
- manufacturer: Stiebel Eltron
- type:CND 75","Falra szerelt sugárzó és konvekciós fűtő, ablaknyitás-, jelenlétérzékelővel, és programozható időzítővel
- névleges fűtőteljesítmény [W]: 750
- tömeg [kg]: 6.7
- gyártó: Stiebel Eltron
- típus:CND 75", 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1374
,400,421,10,"Wall mounted radiant and convection heating appliance w. window opening-, presence sensor and programmable timer
- nominal heating capacity [kW]: 1
- weight [kg]: 7.7
- manufacturer: Stiebel Eltron
- type:CND 100","Falra szerelt sugárzó és konvekciós fűtő, ablaknyitás-, jelenlétérzékelővel, és programozható időzítővel
- névleges fűtőteljesítmény [kW]: 1
- tömeg [kg]: 7.7
- gyártó: Stiebel Eltron
- típus:CND 100", 8.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1375
,400,421,11,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 0.5
- weight [kg]: 4
- manufacturer: Stiebel Eltron
- type:CWM 500 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 0.5
- tömeg [kg]: 4
- gyártó: Stiebel Eltron
- típus:CWM 500 P", 40.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1376
,400,421,12,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 1
- weight [kg]: 4.6
- manufacturer: Stiebel Eltron
- type:CWM 1000 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 1
- tömeg [kg]: 4.6
- gyártó: Stiebel Eltron
- típus:CWM 1000 P", 12.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1377
,400,421,13,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 1.5
- weight [kg]: 6
- manufacturer: Stiebel Eltron
- type:CWM 1500 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 1.5
- tömeg [kg]: 6
- gyártó: Stiebel Eltron
- típus:CWM 1500 P", 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1378
,400,421,14,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 2
- weight [kg]: 7.7
- manufacturer: Stiebel Eltron
- type:CWM 2000 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 2
- tömeg [kg]: 7.7
- gyártó: Stiebel Eltron
- típus:CWM 2000 P", 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1379
,400,421,15,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 2.5
- weight [kg]: 9.2
- manufacturer: Stiebel Eltron
- type:CWM 2500 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 2.5
- tömeg [kg]: 9.2
- gyártó: Stiebel Eltron
- típus:CWM 2500 P", -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1380
,400,421,16,"Wall mounted slim convection heating appliance w. window opening sensor and programmable timer, IP24 protection rating
- nominal heating capacity [kW]: 3
- weight [kg]: 10.9
- manufacturer: Stiebel Eltron
- type:CWM 3000 P","Falra szerelt, vékony, konvekciós fűtő, ablaknyitásérzékeléssel és programozható időzítővel, IP24 védelemmel
- névleges fűtőteljesítmény [kW]: 3
- tömeg [kg]: 10.9
- gyártó: Stiebel Eltron
- típus:CWM 3000 P", 18.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1381
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1382
,,,,Domestic Hot Water Production,Melegvíztermelés,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1383
,400,421,17,"Hot water tank charging module, instantenous flow heater, wall mounted, comprising the following parts:
primary side: high efficienvy pump, 2-way control valve, bleeding and drain valve, temperature sensor and compensating valve
plate heat exchanger from stainless steel
secondary side: safety valve (10bar), check valve, filling-draining valve, temperature sensor, conecction for DHV circulation
built-in electronic control
- nominal output [kW]: 275
- primary side nominal temperature in/out [°C]: 70/30
- heating water volumetric flow [m³/h]: 5.72
- secondary sire nominal temperature in/out [°C]: 10/55
- drinking water volumetric flow [m³/h]: 4.98

- manufacturer: Hoval
- type: TransTherm aqua F 6-50","Melegvíztároló töltő modul, átfolyós vízmelegítő, falra szerelt, az alábbi elemekből:
pirmer oldal: nagy hatásfokú szivattyú, kétutú szabályzószelep, légtelenítő és ürítő szelep, hőmérséklet érzékelő, kiegyenlítő szelep
hőcserélő rozsfamentes acélból
szekunder oldal: biztonsági szelep (10bar), visszacsapó szelep, töltő-ürítő szelep, hőmérséklet érzékelő, csatlakozás cirkulációhoz
beépített elektronikus vezérlés
- névleges teljesítmény [kW]: 275
- primer oldal névleges be- és kilépő hőmérséklet [°C]: 70/30
- fűtővíz térfogatáram [m³/h]: 5.72
- szekunder oldal névleges be- és kilépő hőmérséklet [°C]: 10/55
- ivóvíz térfogatáram [m³/h]: 4.98

- gyártó: Hoval
- típus: TransTherm aqua F 6-50", 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1384
,400,421,18,"Instantanous, under-counter, electric water heater and storage tank, for drinking water
- nominal power consumption [kW]: 2
- weight [kg]: 8
- set temperature [°C]: 65
- nominal pressure [bar]: 6
- size W/H/L: 340/470/270
- manufacturer: Hajdu Zrt
- type: ZA10","Átfolyós, pult alá építhető, elektromos vízmelegítő és tároló, ivóvízhez
- névleges teljesítményfelvétel [kW]: 2
- tömeg [kg]: 8
- melegvíz-hőmérséklet [°C]: 65
- névleges nyomás [bar]: 6
- méret, Sz/M/H: 340/470/270
- gyártó: Hajdu Zrt
- típus: ZA10", 49.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1385
,400,421,19,"Hot water storage tank, wall mounted, with electrical heating, for drinking water
- nominal power consumption [kW]: 1.8
- weight [kg]: 27
- set temperature [°C]: 65
- nominal pressure [bar]: 6
- size D/H: 515/762
- manufacturer: Hajdu Zrt
- type: Z80Smart","Melegvíztároló, falra szerelt, elektromos fűtéssel, ivóvízhez
- névleges teljesítményfelvétel [kW]: 1.8
- tömeg [kg]: 27
- melegvíz-hőmérséklet [°C]: 65
- névleges nyomás [bar]: 6
- méret, Átm./M: 515/762
- gyártó: Hajdu Zrt
- típus: Z80Smart", 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1386
,400,421,20,"Floor convector
in-floor installed, w. black painted copper-auminum heat exchanger, stainless steel body, with integrated low noise centrifugal 12V motor fan, complete with cover grille and electric control  accessories
- connection size: DN15
- nominal heating capacity at 70/50/20°C [kW]: 1.25
- power consumption [W]: 11
- water volume [l/m]: 0.3
- dimensions, W/H [mm]: 240/110
- length, L [mm]: 1000
- weight [kg]: 10.5
- manufacturer: Purmo
- type Aquilo F2C 1000","Padlókonvektor
padlóba épített, feketére festett réz-alumínium hőcserélővel, rozsdamentes acél házban, beépített alacsony zajszintű 12V-os veentilátorrral, ráccsal és elektromos vezérléssel kompletten
- csatlakozási méret: DN15
- névleges fűtési teljesítmény 70/50/20°C [kW]: 1.25
- elektromos teljesítményfelvétel [W]: 11
- víztartalom [l/m]: 0.3
- méretek, Sz/M [mm]: 240/110
- hossz, L [mm]: 1000
- tömeg [kg]: 10.5
- gyártó: Purmo
- típus Aquilo F2C 1000", 4.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1387
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1388
,,,,Piping,Csővezetékek,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1389
x,,,,"Steel pipe for water medium, general quality requirements
MSZ 29:1986 standard seamless steel pipe in sizes according to MSZ EN 10220:2003, with S235JR material quality or MSZ EN 10255 S-195-T or DIN 2440/2448.
With welded joints, bends, fittings, bushings, section-wise pressure test, freely mounted, protective coating, insulation, complete support construction in a distance defined in design and technical description, for which galvanised steel clamps/brackets, supports/hangers should be used with vibration and noise insulating rubber inlays.
Painting of steel pipes (under insulation)
1 layer of repair-painintg of protective coated pipes with red-brownish 'Hammerite' paint
1 layer of cover painting of the entire pipe network with red-brownish 'Hammerite' paint (or technically equivalent).","Acélcső víz közeghez, általános minőségi elvárásai
MSZ 29:1986 szerinti varrat nélküli acélcső MSZ EN 10220:2003 szerinti méretben S235JR anyagminőséggel vagy MSZ EN 10255 S-195-T minőségben vagy DIN 2440/2448 szerinti minőségben.
Hegesztett kötésekkel, csőhajlításokkal, idomokkal, csőhüvelyekkel, szakaszos nyomáspróbával, szabadon szerelve, alapmázolással, szigeteléssel, komplett tartózással, a terv és műszaki leírás szerinti megfogási távolságokban, melyhez horganyzott kivitelű típus csőbilincseket, csőtartókat és függesztőket kell használni rezgés- és hangszigetelt betétekkel.
Acélcső festése (hőszigetelés alá)
1 rtg. Alapmázolt csövek visszajavítása vörösesbarna Hammerite festékkel
1 rtg. Fedőréteg felhordása a teljes csővezetéki hálózaton vörösesbarna Hammerite festékkel. Vagy vele műszakilag egyenértékűvel.",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1390
,,,,"General quality requirements of insulations: 
For insulations always the original auxiliary materials of the manufacturer must be used, i.e.: adhesives, overlapping tapes, fixings, etc.
Insulations should always be made so that the result is a homogenously insulated surface, with special attention in the case of cold medium transferring pipelines.","Hőszigetelés általános minőségi elvárásai: 
A hőszigetelésekhez minden esetben a gyártó saját segédeszközeit kell használni, mint pl.: ragasztók, átlapolók, rögzítések, stb.
Szigeteléseket minden esetben úgy kell elkészíteni, hogy a végeredmény egy homogén szigetelt felület legyen, különös tekintettel a hideg közeget szállító csővezetékek esetében.
",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1391
,,,,"Tubolit S or S Plusz: Closed cell structure polyethylene foam thermal insulation, flexible polymer protective foil (complete with adhesive bands and auxiliary materials). S Plussz inner foil layer to help threading. Allowed temperature of medium from 0 to 120°C(band: +85°C). Fire resistance class: B1 (hardly inflammable)","Tubolit S v. S Plusz: Zártcellás szerkezetű habosított polietilén hőszigetelés, polimer flexibilis védőfóliával (rendelkezik öntapadó szalagokkal és tartozékokkal). S Plussz behúzást segítő belső fólia réteggel. Megengedett közeghőm. 0 - 102°C-ig (szalag +85°C). Tűzvédelmi besorolás: B1 (nehezen éghető)",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1392
,,,,"Armaflex AC: Synthetic rubber based closed cell structure to prevent condensation, elastic thermal insulation. Allowed temperature of medium -50 - +110°C-ig (band: +85°C). Fire resistance class: DL-s3, d0 (considerable participation in fire, strong smoker production, no flaming droplets/particles)","Armaflex AC: Szintetikus gumi alapú zártcellás szerkezetű páralecsapódás megelőzésére, rugalmas hőszigetelés. Megengedett közeghőm. -50 - +110°C-ig (szalag +85°C). Tűzvédelmi besorolás: DL-s3, d0 (lényeges részvétel a tűzben, erősen füstképző, égve nem csepegő)",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1393
,,,,"Consig mineral wool insulation with aluminum lining: basalt based product with aluminium lining, adhesive and aluminium tape fixing. Allowed temperature of medium up to +250°C. Fire resistance classification: A1 non-flammable (MSZ EN 13501-1:2007), or other technically equivalent product.","Consig alukasírozott ásványgyapot: Bazalt alapú ásványgyapot termék alukasírozással, ragasztással és aluszalaggal rögzítve. Megengedett közeghőm. +250°C-ig. Tűzvédelmi besorolás: A1 nem éghető (MSZ EN 13501-1:2007 szerint) Vagy vele műszakilag egyenértékű.",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1394
,,,,"AL: 0,8mm thick aluminium sheet cladding, with continuous overlapping, sintered connections with aluminium riveting, or other technically equivalent solution.","AL: 0,8mm-es aluminium lemez borítás, folytonos, átlapolásos, horganyzott (zitnizett) kapcsolatokkal, alumínium popszegecses rögzítéssel, vagy ezzel műszakilag egyenértékű.",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1395
,,,,"Support construction general quality requirements:
Complete support construction in a distance defined in design and technical description, for which galvanised steel clamps/brackets, supports/hangers should be used with vibration and noise insulating rubber inlays.","Tartózás általános minőségi elvárásai:
Komplett tartózást, a terv és műszaki leírás szerinti megfogási távolságokkal kell elkészíteni, melyhez horganyzott kivitelű típus csőbilincseket, csőtartókat és függesztőket kell használni rezgés- és hangszigetelt betétekkel.",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1396
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1397
,,,,"Heating, steel pipe","Fűtés, acélcső",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1398
,400,421,21,DN15,DN15, 80.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1399
,400,421,22,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 80.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1400
,400,421,23,DN20,DN20, 60.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1401
,400,421,24,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 60.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1402
,400,421,25,DN25,DN25, 98.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1403
,400,421,26,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 98.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1404
,400,421,27,DN32,DN32, 60.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1405
,400,421,28,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 60.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1406
,400,421,29,DN50,DN50, 244.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1407
,400,421,30,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 244.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1408
,400,421,31,DN65,DN65, 70.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1409
,400,421,32,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 70.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1410
,400,421,33,DN80,DN80, 6.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1411
,400,421,34,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 6.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1412
,400,421,35,DN150,DN150, 2.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1413
,400,421,36,"Consig mineral wool insulation w. aluminum lining, 30mm","Consig alukasírozott ásványgyapot szigetelés, 30mm", 2.00    ,lm/fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1414
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1415
,,,,Pipe accessories,Csővezetéki szerelvények,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1416
,,,,"Flanged butterfly valve,
can be built in as end cap, shut-off valve with counterflanges, bolts and gaskets, installed according to design.
- manufacturer:
- type:","Karimás pillangószelep,
végelzáróként beépíthető elzárószelep, ellenkarimákkal, csavarokkal és tömítésekkel, felszerelve, terv szerinti helyekre.
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1417
,400,421,37,DN65,DN65, 4.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1418
,400,421,38,DN80,DN80, 5.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1419
,400,421,39,DN100,DN100, 9.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1420
,,,,"Ball valve
Internal/internal threaded connection, without drain
- manufacturer:
- type:","Gömbcsap
Belső/belső menetes csatlakozással, ürítőcsonk nélkül
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1421
,400,421,40,DN15,DN15, 13.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1422
,400,421,41,DN20,DN20, 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1423
,400,421,42,DN25,DN25, 9.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1424
,400,421,43,DN32,DN32, 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1425
,400,421,44,DN50,DN50, 14.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1426
,,,,"Automatic bleeding valve
With shut-off valve, at every locally highest point in the pipe system
- manufacturer:
- type:","Automata légtelenítő
Elzáró gömbcsappal minden magaspontra 
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1427
x,400,421,45,DN20,DN20, 15.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1428
,,,,"Air accumulator
Placed on top of risers, to separate and collect air from the heating system
- manufacturer:
- type:","Légedény
Felszállókra helyezve, levegő leválasztására és gyűjtésére a fűtési rendszerből 
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1429
,400,421,46,"ø110, 1litre, DN15","ø110, 1liter, DN15", 3.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1430
,,,,"Balancing and shut-off valve
with self-sealing pressure difference and flow metering plugs, preset option, digital handwheel, without drain nozzle, with threaded connections, installed according to design, complete with auxiliary materials.
- manufacturer: IMI Hydronic Engineering
- type: TA-STAD","Beszabályozó- és elzárószelep
önzáró nyomáskülönbség és térfogatáram mérési csatlakozó csonkokkal, előbeállítási lehetőséggel, digitális kézikerékkel, ürítőcsonk nélkül, menetes csatlakozással, beépítve a terv szerinti helyekre szükséges segédanyagokkal.
- gyártó: IMI Hydronic Engineering
- típus: TA-STAD",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1431
,,,47.1,DN15,DN15, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1432
,400,421,47.2,DN20,DN20, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1433
,,,47.3,DN25,DN25, 6.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1434
,,,,"Balancing and shut-off valve
with self-sealing pressure difference and flow metering plugs, preset option, digital handwheel, without drain nozzle, with threaded connections, installed according to design, complete with auxiliary materials.
- manufacturer: IMI Hydronic Engineering
- type: TA-STAF","Beszabályozó- és elzárószelep
önzáró nyomáskülönbség és térfogatáram mérési csatlakozó csonkokkal, előbeállítási lehetőséggel, digitális kézikerékkel, ürítőcsonk nélkül, menetes csatlakozással, beépítve a terv szerinti helyekre szükséges segédanyagokkal.
- gyártó: IMI Hydronic Engineering
- típus: TA-STAF",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1435
,400,421,48.1,DN50,DN50, 5.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1436
,400,421,48.2,DN65,DN65, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1437
,,,,"Differential pressure control valve DA 516 - inline valve, with threaded connections; PN16, w. insulated housing. TA product or technically equivalent
60-150 kPa
Valve body: Ductile iron EN-GJS-400 
Diaphragm and gaskets: EPDM 
Adjustment ring: DN 15-50 plastic (Ryton PPS), DN 65-125 acél (R St 37-2). (there is no ring in DN 150 size)","Nyomáskülömbség stabilizálló szelep DA 516 - inline szelep, menetes csatlakozással; PN16, hőszigetelő burkolattal. TA típus vagy vele egyenértékű
60-150 kPa
Szeleptest: Gömbgrafitos öntvény EN-GJS-400 
Membrán és tömítések: EPDM
Beállító gyűrű: DN 15-50 műanyag (Ryton PPS), DN 65-125 acél (R St 37-2). (DN 150-es méretben nincs beállító gyűrű.)",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1438
,400,421,49.1,DA516 DN15/20 60-150 KPA,DA516 DN15/20 60-150 KPA, 2.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1439
,,,,,,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1440
,,,,"Differential pressure control valve Pilot-R, with flanged connections; PN16, w. insulated housing. TA product or technically equivalent
60-150 kPa
Valve body: Ductile iron EN-GJS-400 
Diaphragm and gaskets: EPDM 
","Nyomáskülömbség stabilizálló szelep Pilot-R, karimás csatlakozással; PN16, hőszigetelő burkolattal. TA típus vagy vele egyenértékű
60-150 kPa
Szeleptest: Gömbgrafitos öntvény EN-GJS-400 
Membrán és tömítések: EPDM
",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1441
,400,421,49.2,Pilot-R DN65,Pilot-R DN65, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1442
,,,,"Check valve
internal / interal thread, installed with auxiliary materials according to design.
- manufacturer:
- type:","Visszacsapó szelep
belső/belső menetes csatlakozással, beépítve a terv szerinti helyekre szükséges segédanyagokkal.
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1443
,400,421,50,DN15,DN15, -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1444
,400,421,51,DN20,DN20, -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1445
,400,421,52,DN25,DN25, -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1446
,400,421,53,DN32,DN32, -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1447
,400,421,54,DN40,DN40, -      ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1448
,,,,"Check valve
flanged connection, installed with auxiliary materials according to design
- manufacturer:
- type:","Visszacsapó szelep
karimás csatlakozással, beépítve a terv szerinti helyekre, szükséges segédanyagokkal.
- gyártó:
- típus:",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1449
,400,421,55,DN50,DN50, 4.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1450
,400,421,56,DN65,DN65, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1451
,,,,"Air separator
for automatical removal of micro-bubbles in heating systems
- manufacturer: Spirotech
- type: SpiroVent","Mikrobuborék-leválasztó
levegő eltávolítására a fűtési rendszerekben
- gyártó: Spirotech
- típus: SpiroVent",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1452
,400,421,57,DN80,DN80, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1453
,,,,"Dirt separator
for removal of suspended particles carried in heating systems
- manufacturer: Spirotech
- type: SpiroTrap","Szennyfogó
lebegő szennyező szemcsék eltávolítására a fűtési rendszerekben
- gyártó: Spirotech
- típus: SpiroTrap",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1454
,400,421,58,DN80,DN80, 1.00    ,pc/db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,1455
